Title,Image Link,Location,Publish Date,Total Price
House For Sale In Peradeniya,https://patpat-s3-live.s3.amazonaws.com/default_thumb.png,"Beds-6 , Baths-3 , Size-2500 sqft",2024-08-17,No total price
Land For Sale In Ruwanwella,https://patpat-s3-live.s3.amazonaws.com/default_thumb.png,4 Acres,2024-09-09,"25,000,000"
Land For Sale In Ella,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/8a803aae876ecaed19d2f83e1f7d30f3-841168.jpeg,34 Perches,2024-09-11,No total price
House For Sale In Handessa,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/5690e7c57144aa21c36663298ebdfcf61310795_2.jpeg,"Beds-2 , Baths-1 , Size-1500 sqft",2024-09-11,No total price
House For Sale In Walpola,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e66d842939df270fecc0d46fca1ad477-729328.jpeg,"Beds-3 , Baths-1 , Size- sqft",2024-09-11,No total price
House For Sale In Nittambuwa,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/dc13d25bc9ba52f7d5d66efb7b5f6fe4-640592.jpeg,"Beds-3 , Baths-2 , Size-2423 sqft",2024-09-11,No total price
Land For Sale In Divulapitiya,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/5e8500eea4ede295cb9a3c87b2d6c240-175948.jpeg,5 Acres,2024-09-11,No total price
House For Sale In Katugastota,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ca5f622561353e2d9f0244e49ec1b994-960467.jpeg,"Beds-2 , Baths-1 , Size-2500 sqft",2024-09-11,No total price
Apartment For Sale In Moratuwa,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/3514a5ca81016f2c79ff9fbdf52140c6-102314.jpeg,"Beds-3 , Baths-2 , Size-1250 sqft",2024-09-11,No total price
House For Sale In Katunayake,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/0a9489fc1665a7a0e32fe4e7c799a17c-912004.jpeg,"Beds-5 , Baths-3 , Size- sqft",2024-09-11,No total price
House For Sale In Beruwala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/59716fc76c5e123eecc60d1f1aaa3ef8-634636.jpeg,"Beds-2 , Baths-1 , Size- sqft",2024-09-11,No total price
Land For Sale In Panadura,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/dc6cd075f34eda898a13322cbd5f292e-772650.jpeg,12 Perches,2024-09-11,No total price
House For Sale In Kengalla,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e724f6d635a946f30fedf7fe16002f76-439578.jpeg,"Beds-2 , Baths-1 , Size-2200 sqft",2024-09-11,No total price
Land For Sale In Katugastota,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a110674be70f89ce021ae826c773070e-421301.jpeg,12.1 Perches,2024-09-11,No total price
House For Sale In Athurugiriya,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/9cdafe2c5cffa8718411624535f28453-383355.jpeg,"Beds-3 , Baths-2 , Size-1250 sqft",2024-09-11,No total price
Commercial Building For Sale In Kiribathgoda,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e85a386796d509807520a53d31e43ffd1310789_1.jpeg,4000 sqft,2024-09-11,No total price
House For Sale In Kottawa,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/1be06f21e2592b21b0a964e2e1b10bc3-695505.jpeg,"Beds-4 , Baths-2 , Size-2250 sqft",2024-09-11,No total price
House For Sale In Kandana,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/f9365dbbbe6e7f29710e6b0be0c9d1ae-920394.jpeg,"Beds-6 , Baths-2 , Size- sqft",2024-09-11,No total price
Land For Sale In Padukka,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a557065768a9d44f3932112f7546b461-982274.jpeg,10 Perches,2024-09-11,No total price
Annex For Rent In Seeduwa,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/56a632dbdb25bab3606d0ce7f120e757-457104.jpeg,"Beds-1 , Baths-1",2024-09-11,No total price
House For Sale In Veyangoda,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/6170ba008ec4441fc837c74372d5df6a-715284.jpeg,"Beds-4 , Baths-1 , Size- sqft",2024-09-11,No total price
House For Sale In Nittambuwa,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/be80228eeb88da7f405f1ae7115e75e8-930857.jpeg,"Beds-3 , Baths-1 , Size-2400 sqft",2024-09-11,No total price
